asset_id,main_type,sub_type,modifiers
217750,SB,b,['?']
86566,S,c,['+']
182364,SB,c,['r']
271188,E,c,[]
215703,S,b,['+']
218712,S,c,['?']
269810,S,b,"['u', '?']"
14636,S,c,['r']
178516,S,b,['+']
194022,S,b,['+']
67099,S,c,['?']
2269,SB,b,['o']
137723,SB,b,['r']
116022,S,c,['+']
46719,S,b,['?']
269583,S,c,['?']
247395,S,b,['?']
282872,SB,c,['?']
207980,S,b,['?']
269872,S,b,"['m', '?']"
257980,Unknown,A,[]
112389,S,c,['?']
94600,S,c,[]
835,S,b,['r']
191111,SB,b,['?']
197240,SB,c,[]
260505,S,c,['?']
81053,S,c,"['o', '?']"
224888,S,a,['o']
54321,S,b,[]
25489,S,b,[]
161355,S,c,['?']
201280,S,c,['?']
224992,SB,c,[]
81977,SB,b,[]
114702,S,b,['o']
56448,S,c,['+']
271280,S,d,['i']
31250,S,c,"['r', '?']"
110705,SB,c,[]
93818,S,b,[]
269633,SB,c,"['m', '?']"
121240,S,d,['o']
81317,S,c,[]
270962,S,d,[]
18316,S,b,['+']
169377,S,b,['+']
105504,S,c,['+']
31263,S,c,['?']
183809,SB,b,['+']
14850,S,b,"['r', '?']"
58196,S,b,['+']
212835,SB,d,['r']
227794,S,b,['m']
7652,SB,d,['+']
269735,S,c,['?']
210350,S,c,['m']
251066,S,b,['+']
137330,S,c,[]
45073,S,c,['+']
161435,SB,b,['r']
240635,S,c,['?']
196383,S,c,['+']
62649,S,c,['?']
29772,E,c,[]
64166,S,c,['+']
112851,S,c,['r']
49463,S,b,[]
61981,S,c,['?']
159951,S,b,[]
227840,S,b,['?']
201047,S,b,['?']
17552,SB,b,['+']
64074,SB,c,['?']
86149,S,c,['+']
221465,S,c,[]
40371,SB,c,['r']
275544,S,b,[]
86952,SB,b,['r']
259103,S,a,['?']
219542,S,b,['r']
109509,SB,b,['?']
223666,SB,b,[]
255042,S,c,['?']
15750,SB,c,[]
87322,S,b,['?']
65529,S,c,['?']
290234,SB,b,['r']
132757,SB,b,['+']
77596,S,c,['?']
30031,SB,b,['r']
85846,E,c,[]
16760,SB,b,[]
218655,S,c,['?']
201053,SB,b,[]
82265,S,c,['+']
81770,SB,b,['r']
56103,S,c,[]
222818,S,c,[]
74067,SB,c,[]
210719,S,c,['?']
248430,SB,b,"['m', '?']"
49418,SB,c,[]
130143,SB,b,['+']
216269,E,c,[]
93504,SB,b,['+']
184993,E,c,[]
42286,S,d,['i']
216333,S,b,['+']
186386,SB,b,['o']
48001,SB,b,[]
175381,S,b,[]
35119,S,c,['?']
229761,S,b,['r']
178150,SB,b,['?']
173609,S,c,['+']
29723,SB,c,[]
247993,S,b,['u']
93817,S,b,['o']
185315,S,c,['r']
80578,S,c,['+']
271340,S,d,['?']
270509,Unknown,A,[]
170328,S,c,['+']
232415,S,b,['m']
78634,SB,b,['+']
223796,S,c,[]
64783,S,c,['?']
194198,SB,c,['r']
39696,S,b,['+']
197910,S,b,['r']
201315,SB,b,"['r', '?']"
75108,S,b,['?']
25095,SB,b,[]
236570,SB,c,[]
210174,S,b,['?']
211539,S,b,['?']
253831,S,c,[]
259507,S,c,[]
270014,S,b,['u']
272948,S,b,[]
278157,S,b,['?']
41600,S,b,['?']
155521,S,c,[]
241087,S,b,['?']
179661,SB,b,['+']
256410,SB,b,[]
219986,S,c,[]
170521,S,b,[]
175862,S,b,['+']
38780,S,b,"['o', '?']"
125308,SB,c,"['r', '?']"
236942,S,b,['d']
249290,S,c,[]
197681,S,c,['+']
272978,S,b,['?']
261451,S,c,"['u', '?']"
21825,S,c,['?']
138138,SB,c,['+']
154554,SB,a,['i']
264094,SB,c,['?']
156881,S,b,[]
217994,S,c,[]
